year,treatment,replicate,station,core,section,depth,soil_dwt,cum_soil_dw,c_prct,n_prct,gavel_free_Bd,Comments,Outliers
#,,,,,,cm,kg_m2,kg_m2,%,%,g/cm3,,
2001,1,2,1,1,D,100,436.1788983,1308.100662,0.0937354,0.04674675,1.321754237,,
2001,1,2,2,1,S,9,97.70097535,97.70097535,1.0695,0.0943,1.085566393,soils re-processed and analyzed in July 2019,
2001,1,2,2,1,M,69,763.0171207,860.718096,0.4454142,0.0422805,1.271695201,,
2001,1,2,2,1,D,100,444.1793445,1304.897441,0.1135772,0.0139347,1.432836595,,
2001,1,2,3,1,S,11,135.815835,135.815835,0.938033333,0.087533333,1.234689409,soils re-processed and analyzed in July 2019,
2001,1,2,3,1,M,61,608.4392331,744.2550681,0.383152,0.03769515,1.216878466,,
2001,1,2,3,1,D,100,553.718661,1297.973729,0.0868934,0.02149755,1.419791438,,
2001,1,2,4,1,S,12,133.6256227,133.6256227,1.017966667,0.0898,1.113546856,soils re-processed and analyzed in July 2019,
2001,1,2,4,1,M,60,636.9435678,770.5691906,0.3619418,0.04764,1.326965766,,
2001,1,2,4,1,D,100,511.8459942,1282.415185,0.1683132,0.0254874,1.279614986,,
2001,1,2,5,1,S,11,104.7395079,104.7395079,0.818933333,0.074766667,0.952177345,soils re-processed and analyzed in July 2019,
2001,1,2,5,1,M,48,487.2168712,591.9563791,0.4255724,0.0531186,1.316802355,,
2001,1,2,5,1,D,100,636.1685255,1228.124905,0.1833656,0.0365637,1.223401011,,
2001,1,4,1,1,S,25,313.1397797,313.1397797,0.621933333,0.0575,1.252559119,soils re-processed and analyzed in July 2019,
2001,1,4,1,1,M,56,422.9087383,736.048518,0.301048,0.033348,1.364221736,,
2001,1,4,1,1,D,100,519.2189432,1255.267461,0.1409452,0.01506615,1.180043053,,
2001,1,4,2,1,S,25,317.0724019,317.0724019,0.708966667,0.066433333,1.268289608,soils re-processed and analyzed in July 2019,
2001,1,4,2,1,M,53,365.4981951,682.570597,0.2209966,0.0197706,1.305350697,,
